epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2451.67,0.20313,0.63046,0.91932,0.96444,0.94135,0.98224,0.97852,0.13651,0.21463,0.79267,0.007921,0.007921,0.007921
44,2507.28,0.2044,0.62938,0.92188,0.97367,0.95401,0.98648,0.98421,0.12978,0.19416,0.793,0.0078715,0.0078715,0.0078715
45,2562.94,0.20272,0.622,0.92224,0.97182,0.95388,0.98667,0.98543,0.11725,0.18979,0.78695,0.007822,0.007822,0.007822
46,2618.82,0.19978,0.59757,0.91986,0.97093,0.95264,0.98441,0.9824,0.13492,0.20161,0.79638,0.0077725,0.0077725,0.0077725
47,2674.22,0.20051,0.61173,0.92041,0.9705,0.95272,0.98535,0.98415,0.13494,0.19902,0.79907,0.007723,0.007723,0.007723
48,2729.73,0.19557,0.5975,0.91963,0.98272,0.9628,0.98919,0.98733,0.13092,0.18144,0.79199,0.0076735,0.0076735,0.0076735
49,2784.62,0.19668,0.59471,0.91517,0.96754,0.96812,0.98842,0.98681,0.12576,0.18524,0.78751,0.007624,0.007624,0.007624
50,2839.28,0.19872,0.60437,0.91943,0.97255,0.96616,0.98788,0.98612,0.13081,0.19119,0.7891,0.0075745,0.0075745,0.0075745
51,2894.14,0.19738,0.59609,0.91711,0.98153,0.97056,0.98932,0.98795,0.12766,0.17824,0.79456,0.007525,0.007525,0.007525
52,2948.88,0.19579,0.59852,0.91637,0.97464,0.96247,0.98779,0.98555,0.12009,0.17789,0.78571,0.0074755,0.0074755,0.0074755
53,3003.69,0.19572,0.58341,0.91703,0.97399,0.9678,0.9884,0.98733,0.14047,0.19056,0.80713,0.007426,0.007426,0.007426
54,3058.32,0.19308,0.57765,0.91597,0.98194,0.95606,0.98984,0.98868,0.11255,0.16399,0.77785,0.0073765,0.0073765,0.0073765
55,3113.02,0.19533,0.57409,0.9168,0.97563,0.97195,0.98938,0.98887,0.10755,0.16231,0.78297,0.007327,0.007327,0.007327
56,3168.28,0.19414,0.57573,0.91682,0.97801,0.96948,0.98904,0.98759,0.13908,0.18674,0.80546,0.0072775,0.0072775,0.0072775
57,3224.87,0.19119,0.56775,0.91487,0.97413,0.97294,0.99051,0.9891,0.11164,0.15406,0.78237,0.007228,0.007228,0.007228
58,3280.09,0.1937,0.56481,0.91564,0.97457,0.98095,0.99074,0.99003,0.11277,0.15373,0.77914,0.0071785,0.0071785,0.0071785
59,3335.6,0.19301,0.56824,0.91651,0.9839,0.97528,0.99095,0.99015,0.11393,0.15009,0.77991,0.007129,0.007129,0.007129
60,3391.11,0.18735,0.55513,0.9123,0.97718,0.97959,0.99077,0.9897,0.10558,0.14572,0.77525,0.0070795,0.0070795,0.0070795
61,3446.53,0.18931,0.54999,0.9151,0.97664,0.98115,0.99067,0.98989,0.10048,0.14316,0.77695,0.00703,0.00703,0.00703
